topic_id,word,clue_tight,clue_standard,clue_loose,difficulty,region
aktor,Vice Ganda,"host ng noontime show, kilala sa pagpapatawa",isang sikat na TV personality,isang tao sa showbiz,1,national
aktor,Coco Martin,lead sa matagal na aksyon na teleserye,isang aktor na sikat sa TV,isang artista,2,national
aktor,Sarah Geronimo,mang-aawit na sikat sa noontime shows,isang singer na umaarte rin,isang tao sa showbiz,1,national
aktor,Kathryn Bernardo,aktres na sikat sa loveteam,isang batang aktres sa pelikula,isang artista sa TV,2,national
aktor,Daniel Padilla,aktor na kabilang sa sikat na loveteam,isang lalaking artista sa teleserye,isang tao sa showbiz,2,national
aktor,Nora Aunor,"maliit ang tindig, kilala sa dramang luma",isang beteranang aktres,isang tao sa pelikula,3,national
aktor,Dolphy,komedyante noong unang panahon,isang matandang aktor na nakakatawa,isang tao sa pelikula,3,national
aktor,Anne Curtis,"host at aktres, kalahating dayuhan",isang sikat na babae sa TV,isang artista,2,national
aktor,Piolo Pascual,"matipuno at guwapo, matagal na sa showbiz",isang lalaking artista,isang tao sa TV,3,national
aktor,Judy Ann Santos,sikat sa drama noong bata pa siya,isang aktres na kilala sa teleserye,isang artista,3,national
aktor,Bea Alonzo,aktres na sikat sa iyakang pelikula,isang babaeng artista sa drama,isang tao sa showbiz,3,national
aktor,John Lloyd Cruz,sikat sa mga romantikong pelikula,isang aktor na kilala sa drama,isang artista sa pelikula,3,national
aktor,Vilma Santos,"beterana, naging politiko rin",isang matagal nang aktres,isang tao sa showbiz,3,national
aktor,Aga Muhlach,guwapo noong dekada nobenta,isang aktor na sikat noon,isang artista,4,national
aktor,Maine Mendoza,sumikat sa isang noontime segment,isang babae na sumikat sa TV,isang tao sa showbiz,3,national
aktor,Alden Richards,sumikat sa loveteam sa noontime,isang lalaking artista sa TV,isang artista,3,national
aktor,Angel Locsin,aktres na gumanap na superhero,isang babaeng artista sa aksyon,isang tao sa TV,3,national
aktor,Marian Rivera,aktres na sikat sa fantaserye,isang sikat na babae sa TV,isang artista,3,national
aktor,Dingdong Dantes,aktor na asawa ng kapwa artista,isang lalaki sa teleserye,isang tao sa showbiz,3,national
aktor,Jericho Rosales,aktor at vocalist ng isang banda,isang artista na kumakanta rin,isang tao sa showbiz,4,national
