topic_id,word,clue_tight,clue_standard,clue_loose,difficulty,region
kasaysayan,Jose Rizal,sumulat ng dalawang nobela at binaril sa Bagumbayan,pambansang bayani na doktor,isang bayani,1,national
kasaysayan,Andres Bonifacio,itim ang damit at may itak sa monumento,bayaning nagsimula ng himagsikan,isang bayani,1,national
kasaysayan,Emilio Aguinaldo,unang pangulo at taga-Kawit,pinuno noong panahon ng himagsikan,isang pinuno noon,2,national
kasaysayan,Apolinario Mabini,tinawag na utak ng himagsikan at hindi makalakad,tagapayo noong himagsikan,isang bayani,2,national
kasaysayan,Melchora Aquino,matandang babaeng nag-aruga sa mga sugatan,matandang babaeng bayani,isang bayani,3,national
kasaysayan,Gabriela Silang,babaeng nakakabayo na lumaban sa hilaga,babaeng bayani na may kabayo,isang bayani,2,national
kasaysayan,Lapu-Lapu,pinuno sa Mactan na tumalo sa dayuhan,unang lumaban sa dayuhan,isang pinuno noon,1,national
kasaysayan,Magellan,dayuhang dumating noong 1521 at namatay dito,dayuhang naglayag papunta dito,isang dayuhan,1,national
kasaysayan,Gregorio del Pilar,binatang heneral na namatay sa Tirad Pass,batang heneral,isang bayani,3,national
kasaysayan,Antonio Luna,heneral na mainitin ang ulo at pinatay sa Cabanatuan,heneral noong digmaan,isang bayani,2,national
kasaysayan,Juan Luna,pintor ng Spoliarium,pintor noong unang panahon,isang pintor,2,national
kasaysayan,Marcelo del Pilar,sumulat sa La Solidaridad gamit ang Plaridel,manunulat noong panahon ng reporma,isang manunulat,3,national
kasaysayan,Graciano Lopez Jaena,nagsimula ng pahayagan ng repormista sa Espanya,manunulat noon,isang manunulat,4,national
kasaysayan,Gomburza,tatlong pari na binitay noong 1872,mga paring pinatay ng dayuhan,mga tao noon,3,national
kasaysayan,Noli Me Tangere,unang nobela na may Maria Clara at Ibarra,librong sinulat ng bayani,isang libro,2,national
kasaysayan,El Filibusterismo,ikalawang nobela na may Simoun,librong sinulat ng bayani,isang libro,3,national
kasaysayan,Katipunan,lihim na samahan na may titik KKK,samahan noong himagsikan,isang samahan,1,national
