topic_id,word,clue_tight,clue_standard,clue_loose,difficulty,region
lugar,Boracay,puting buhangin at station one hanggang tatlo,isla na pinupuntahan tuwing bakasyon,isang lugar sa timog,1,national
lugar,Baguio,malamig at may Burnham Park,lungsod na pinupuntahan kapag summer,isang lugar sa hilaga,1,luzon
lugar,Palawan,may underground river at El Nido,probinsya na sikat sa dagat,isang lugar na maganda,1,national
lugar,Vigan,may kalesa at lumang bahay na bato,lungsod na parang noong unang panahon,isang lugar sa hilaga,2,luzon
lugar,Intramuros,pader na gawa ng mga Kastila sa Maynila,lumang parte ng kabisera,isang lugar sa lungsod,2,luzon
lugar,Mayon,bulkan na perpekto ang hugis,bundok na umuusok minsan,isang matangkad na bagay,1,luzon
lugar,Chocolate Hills,libo-libong burol na kayumanggi kapag tag-init,maraming maliliit na bundok,isang tanawin,1,visayas
lugar,Siargao,sikat sa surfing at Cloud Nine,isla na pinupuntahan ng mga surfer,isang isla,2,mindanao
lugar,Cebu,may Magellan's Cross at lechon,malaking lungsod sa gitna ng bansa,isang lugar na sikat,1,visayas
lugar,Davao,kilala sa durian at Mount Apo,malaking lungsod sa timog,isang lugar sa timog,1,mindanao
lugar,Banaue,hagdan-hagdang palayan na libong taon na,payapang lugar na may bukid sa bundok,isang lugar sa bundok,2,luzon
lugar,Taal,bulkan na nasa loob ng lawa,maliit na bulkan malapit sa Maynila,isang lugar na may tubig,2,luzon
lugar,Bohol,may tarsier at Loboc River,isla na maraming turista,isang lugar sa gitna,2,visayas
lugar,Sagada,may hanging coffins at Echo Valley,malamig na lugar na may kweba,isang lugar sa bundok,3,luzon
lugar,Coron,may shipwreck diving at Kayangan Lake,lugar na malinaw ang tubig,isang lugar na maganda,2,luzon
lugar,Batanes,pinakahilagang probinsya na may bahay na bato,malayong lugar na maraming damo,isang lugar na malayo,3,luzon
lugar,Ilocos,may Bangui windmills at empanada,probinsya sa hilagang baybayin,isang lugar sa hilaga,2,luzon
lugar,Zamboanga,tinatawag na Asia's Latin City,lungsod sa timog na may sariling wika,isang lugar sa timog,3,mindanao
lugar,Iloilo,kilala sa Dinagyang at La Paz batchoy,lungsod sa kanluran ng Visayas,isang lugar sa gitna,2,visayas
lugar,Bacolod,kilala sa MassKara at chicken inasal,lungsod na masaya ang tao,isang lugar sa gitna,2,visayas
lugar,Tagaytay,may tanawin ng bulkan at bulalo,malamig na lugar malapit sa Maynila,isang lugar na malamig,1,luzon
lugar,Subic,dating base militar ng Amerikano,lugar na may duty free,isang lugar sa hilaga,3,luzon
