topic_id,word,clue_tight,clue_standard,clue_loose,difficulty,region
opm,Eraserheads,banda ng apat na lalaki noong dekada nobenta,sikat na grupo sa musika dati,isang grupong tumutugtog,2,national
opm,Ben&Ben,magkapatid na kambal ang nasa unahan ng banda,bagong banda na maraming miyembro,grupo na kilala ngayon,2,national
opm,Parokya ni Edgar,banda na puro biro ang lyrics,grupong tumutugtog na nakakatawa,isang bandang Pinoy,2,national
opm,Regine Velasquez,tinaguriang Asia's Songbird,babaeng mataas kumanta,isang mang-aawit,1,national
opm,Sarah Geronimo,nanalo sa singing contest noong bata pa,babaeng sikat kumanta at sumayaw,isang artistang kumakanta,1,national
opm,Gary Valenciano,tinatawag na Mr Pure Energy,lalaking kumakanta habang sumasayaw,isang mang-aawit noon,2,national
opm,Sharon Cuneta,tinawag na Megastar ng showbiz,babaeng kumanta at umarte,isang sikat na tao,2,national
opm,Anak,kanta ni Freddie Aguilar tungkol sa magulang,lumang kanta na malungkot,isang kantang kilala,2,national
opm,Bakit Ba Ganyan,kanta ni Dina Bonnevie na paulit-ulit sa videoke,lumang kanta sa videoke,isang kanta noon,3,national
opm,Harana,pagkanta sa labas ng bahay ng nililigawan,lumang paraan ng panliligaw,isang gawi noong araw,2,national
opm,Videoke,kahon na may mikropono at screen ng lyrics,ginagamit kapag may inuman,isang bagay sa bahay,1,national
opm,Kundiman,lumang awiting pag-ibig na Tagalog,klase ng lumang kanta,isang uri ng musika,3,national
opm,APO Hiking Society,tatlong lalaki na kumanta ng Panalangin,lumang grupo ng tatlo,isang grupong kumakanta,3,national
opm,Rivermaya,banda na kinantahan ni Rico Blanco,rock band noong dekada nobenta,isang bandang Pinoy,3,national
opm,Bamboo,dating vocalist na naging judge sa TV,lalaking rakista na malakas ang boses,isang mang-aawit,2,national
opm,Moira Dela Torre,kilala sa mga malungkot na kanta sa kasal,babaeng kumakanta ng emosyonal,bagong mang-aawit,2,national
opm,SB19,limang lalaki na sumasayaw at kumakanta,grupong parang Korean pero Pinoy,isang bagong grupo,2,national
opm,Silent Sanctuary,banda na may violin sa kanta,band na malungkot ang mga kanta,isang bandang Pinoy,3,national
opm,December Avenue,banda na kilala sa Kung Di Rin Lang Ikaw,bagong band na paborito sa hugot,isang bandang tumutugtog,2,national
opm,Hale,banda na sikat sa kantang The Day You Said Goodnight,band noong dekada dos mil,isang bandang Pinoy,3,national
opm,Freddie Aguilar,lalaking may sombrero at gitara sa Anak,lumang mang-aawit na may gitara,isang matandang artista,3,national
opm,Lea Salonga,kumanta sa Miss Saigon at Disney,babaeng sikat sa buong mundo kumanta,isang mang-aawit,2,national
opm,Yeng Constantino,nanalo sa Star in a Million,babaeng rakista na maliit,isang mang-aawit,3,national
opm,Aegis,magkapatid na babae na napakalakas ng boses,band na kilala sa videoke,isang grupong kumakanta,2,national
opm,Basil Valdez,kumanta ng Ngayon at Kailanman,lumang lalaking mang-aawit,isang boses noon,4,national
opm,Kamikazee,banda ni Jay Contreras na maingay,rock band na nakakatawa,isang bandang Pinoy,3,national
opm,Sponge Cola,banda na kilala sa Bitiw,band noong dekada dos mil,isang bandang tumutugtog,3,national
opm,Up Dharma Down,banda ni Armi Millare na may keyboard,indie band na malamig ang tunog,isang bandang Pinoy,4,national
opm,Sitti,kilala sa bossa nova na Para sa Akin,babaeng kumakanta ng malambot,isang mang-aawit,4,national
opm,Ogie Alcasid,lalaking kumakanta at nagpapatawa sa TV,mang-aawit na komedyante rin,isang artista,2,national
opm,Martin Nievera,tinaguriang Concert King,lalaking kumakanta sa malalaking concert,isang sikat na mang-aawit,2,national
opm,Zsa Zsa Padilla,tinawag na Divine Diva,babaeng kumakanta noon,isang mang-aawit,4,national
opm,Nonoy Zuniga,kumanta ng Never Ever Say Goodbye,lumang mang-aawit na doktor din,isang mang-aawit,4,national
opm,Imago,banda ni Aia de Leon,indie band na may babaeng vocalist,isang bandang Pinoy,4,national
opm,Callalily,banda na kilala sa Magbalik,rock band na masakit ang kanta,isang bandang Pinoy,3,national
opm,Cueshe,banda na kilala sa Stay,band noong dekada dos mil,isang bandang tumutugtog,4,national
opm,Itchyworms,banda na kilala sa Akin Ka Na Lang,band na masaya ang tunog,isang bandang Pinoy,3,national
opm,Gloc-9,rapper na mabilis at may mensahe,lalaking rumarap ng Tagalog,isang mang-aawit,2,national
opm,Andrew E,rapper na kilala sa Humanap Ka Ng Panget,lumang rapper na nakakatawa,isang rapper,3,national
opm,Francis Magalona,rapper na nagmahal sa bansa,lumang rapper na may sombrero,isang rapper noon,3,national
opm,Ely Buendia,dating vocalist ng sikat na bandang nobenta,lalaking rakista na kilala,isang mang-aawit,2,national
opm,Rico Blanco,gumawa ng maraming kanta at kumanta rin,lalaking rakista at composer,isang mang-aawit,3,national
opm,Juan Karlos,kilala sa kantang Buwan,bagong lalaking mang-aawit,isang mang-aawit ngayon,2,national
opm,Zack Tabudlo,bagong lalaking kilala sa Binibini,bagong kumakanta ngayon,isang mang-aawit,2,national
opm,Arthur Nery,bagong kilala sa mga kantang malungkot,bagong mang-aawit sa social media,isang mang-aawit,3,national
opm,Adie,bagong lalaking kilala sa Paraluman,bagong mang-aawit ngayon,isang mang-aawit,3,national
opm,Cup of Joe,bagong banda mula sa Baguio,bagong band na sikat ngayon,isang bandang Pinoy,2,national
opm,Dionela,bagong kilala sa Sining,bagong mang-aawit ngayon,isang mang-aawit,3,national
opm,Nobita,banda na kilala sa Ikaw Lang,bagong band na malungkot,isang bandang Pinoy,4,national
opm,Sugarfree,banda ni Ebe Dancel noon,band na malungkot ang mga kanta,isang bandang Pinoy,3,national
opm,Ebe Dancel,dating vocalist na solo na ngayon,lalaking kumakanta ng hugot,isang mang-aawit,3,national
opm,Barbie Almalbis,babaeng rakista na may gitara,babaeng vocalist noon,isang mang-aawit,4,national
opm,Kitchie Nadal,kilala sa kantang Wag Na Wag Mong Sasabihin,babaeng rakista noon,isang mang-aawit,4,national
opm,Sandwich,banda ni Raimund Marasigan,rock band na maingay,isang bandang Pinoy,4,national
opm,Chocolate Factory,banda na kilala sa Bakit Papa,band na nakakatawa ang kanta,isang bandang Pinoy,4,national
opm,Salbakuta,kilala sa kantang Stupid Love,lumang rap group,isang grupong rumarap,4,national
opm,Michael V,gumagaya ng ibang mang-aawit sa TV,komedyante na kumakanta rin,isang artista,3,national
opm,Bituin Escalante,babaeng napakalakas ng boses sa teatro,babaeng mang-aawit sa entablado,isang mang-aawit,4,national
opm,Katrina Velarde,kilala sa mga cover na may mataas na nota,babaeng kumakanta sa internet,isang mang-aawit,3,national
opm,Morissette,tinawag na Asia's Phoenix,babaeng napakataas kumanta,isang mang-aawit,2,national
